video_tags_id,tag_name,trending_videos_id
501,COMPUTADOR CHIPART,27
502,BATALHA DE BOSS,27
503,caixa Postal,27
504,CANAL DE GAMES,27
505,Music by Epidemic Sound,27
506,CANAL DA CHIPART,27
507,LOJA NO MERCADO LIVRE,27
508,presentinho,27
509,Desenho,27
510,Cartinha,27
511,Shock,27
512,Londrina,27
513,kk,27
514,humor esportivo,28
515,ale oliveira,28
516,de sola,28
517,desola,28
518,ale oliveira responde,28
519,diego ribas,28
520,diego,28
521,flamengo,28
522,diego flamengo,28
523,entrevista diego ribas,28
524,flamengo mundial,28
525,diego titular flamengo,28
526,jorge jesus,28
527,diego santos,28
528,diego meia,28
529,ale oliveira com diego ribas,28
530,ale oliveira com diego,28
531,diego ribas entrevista flamengo,28
532,diego ribas de sola,28
533,ale oliveira de sola,28
534,ale oliveira entrevista,28
535,diego esporte interativo,28
536,ale oliveira esporte interativo,28
537,diego ribas flamengo,28
538,omelete,29
539,omeletv,29
540,omeleteve,29
541,review omelete,29
542,critica omelete,29
543,novidades omelete,29
544,noticias omelete,29
545,omelete heroi,29
546,veredito star wars,29
547,star wars,29
548,star wars ascensao skywalker,29
549,star wars episodio 9,29
550,star wars ix,29
551,novo star wars,29
552,star wars sem spoilers,29
553,veredito star wars 9,29
554,veredito star wars episodio 9,29
555,mcdonalds,30
556,mc donalds,30
557,mcdonald’s,30
558,burguer king,30
559,teste cego,30
560,teste cego bk vs mc,30
561,mc vs bk,30
562,bk vs mc,30
563,burger king vs mcdonalds,30
564,mcdonalds vs burger king,30
565,mc ou bk,30
566,mcdonalds ou burger king,30
567,big mac,30
568,mcdonalds vegetariano,30
569,mcveggie,30
570,mc veggie,30
571,whopper,30
572,whopper rebel,30
573,whopper vegetariano,30
574,vegetariano burger king,30
575,vegetariano bk,30
576,dani noce,30
577,danielle noce,30
578,paulo cuenca,30
579,tia jo,30
580,flamengo,31
581,liverpool,31
582,final.,31
583,mundial,31
584,fifa,31
585,mauro cezar pereira,31
586,mauro cezar,31
587,uol,31
588,espn,31
589,espn brasil,31
590,Lauana,32
591,Prado,32
592,Habilidade,32
593,(Ao,32
594,Vivo,32
595,São,32
596,Paulo,32
597,2019),32
598,Universal,32
599,Music,32
600,International,32
601,Ltda.,32
602,Sertanejo,32
603,Lauana prado,32
604,verdade,32
605,lauana,32
606,cobaia,32
607,potinho,32
608,melhor saída,32
609,trilha,32
610,meu novo ex,32
611,você humilha,32
612,serasa,32
613,tem que respeitar,32
614,feminejo,32
615,sertanejo,32
616,dia do ex,32
617,quem beijou beijou,32
618,levo jeito,32
619,não tem bar na cidade,32
620,so ficou eu,32
621,isso que chamam de amor,32
622,deixa olhar,32
623,luana prado,32
624,lauana prado ep livre,32
625,ep livre,32
626,eu to chegando,32
627,viva,32
628,voz,32
629,maiara e maraisa,33
630,sentimento seu nenhum,33
631,nem tchum letra,33
632,te amo e vc nem tchum,33
633,nem tchum,33
634,maiara e maraisa 2019,33
635,medo bobo,33
636,marilia mendonça,33
637,trai sim maiara e maraisa,33
638,mayara e maraysa,33
639,quer ficar com ela fica,33
640,oi tchau,33
641,sertanejo 2019,33
642,separada maiara e maraisa,33
643,se olha no espelho,33
644,cristiano araujo,33
645,sertanejo,33
646,aí eu bebo,33
647,ai eu bebo,33
648,marilia mendonça 2019,33
649,nao abro mao,33
650,no dia do seu casamento,33
651,naiara azevedo,33
652,workshow,33
653,feminejo,33
654,ep é de casa,33
655,AVIAÇÃO,34
656,Lito,34
657,Lito do Aviões e Músicas,34
658,AVIÕES E MÚSICAS,34
659,Aerolito,34
660,737 max,34
661,737,34
662,Boeing encerra produção,34
663,Boeing para produção do MAX,34
664,Boeing 737,34
665,Crise do MAX,34
666,FAA,34
667,coreografia daniel saboya,35
668,daniel saboya,35
669,daniel saboia,35
670,izabela leite,35
671,rosana maria,35
672,zumba,35
673,ritmos,35
674,lambaerobica,35
675,axe moi,35
676,clipe oficial,35
677,coreografia,35
678,coreografia de funk,35
679,funk,35
680,coreografia kondzilla,35
681,choreography,35
682,dance channel,35
683,dance tutorial,35
684,anitta,35
685,ludmilla,35
686,kevinho,35
687,Verdinha - Ludmilla,35
688,O É da Coisa,36
689,BandNews FM,36
